variable,hc.txt,jetcalib.txt,lepcalib.txt,tth.txt,tttt.txt,merged
Jet_(b|c)Reg(Corr|res),,,,dropmatch,,dropmatch
Jet_btagDeepFlav(B|C|CvB|CvL|L|Le|b|bb|c|g|udsg|QG),,,,dropmatch,,dropmatch
n?BeamSpot_.*,,,,dropmatch,,dropmatch
n?boostedTau_.+,,,,dropmatch,,dropmatch
n?btagWeight_.+,,,,dropmatch,,dropmatch
n?CaloMET_.+,,,,dropmatch,,dropmatch
n?ChsMET_.+,,,,dropmatch,,dropmatch
n?FsrPhoton_.+,,,,dropmatch,,dropmatch
n?Generator_.+,,,,dropmatch,,dropmatch
n?GenIsolatedPhoton_.+,,,,dropmatch,,dropmatch
n?GenProton_.+,,,,dropmatch,,dropmatch
n?GenVisTau_.+,,,,dropmatch,,dropmatch
n?GenVtx_.+,,,,dropmatch,,dropmatch
n?HTXS_.+,,,,dropmatch,,dropmatch
n?IsoTrack_.+,,,,dropmatch,,dropmatch
n?L1_.+,,,,dropmatch,,dropmatch
n?LHEPart_.+,,,,dropmatch,,dropmatch
n?LHEReweightingWeight,,,,dropmatch,,dropmatch
n?LowPtElectron_.*,,,,dropmatch,,dropmatch
n?OtherPV_.+,,,,dropmatch,,dropmatch
n?PFCand_.+,,,,dropmatch,,dropmatch
n?PFCands_.+,,,,dropmatch,,dropmatch
n?PFMET_.+,,,,dropmatch,,dropmatch
n?Photon_.*,,,,dropmatch,,dropmatch
n?PVBS_.+,,,,dropmatch,,dropmatch
n?SoftActivity.+,,,,dropmatch,,dropmatch
n?SV_.*,,,,dropmatch,,dropmatch
n?TauProd_.+,,,,dropmatch,,dropmatch
n?TauSpinner_.+,,,,dropmatch,,dropmatch
n?TrackGenJet_.+,,,,dropmatch,,dropmatch
Electron_cutBased,,,,drop,,drop
Electron_cutBased_HEEP,,,,drop,,drop
Electron_dr03EcalRecHitSumEt,,,,drop,,drop
Electron_dr03HcalDepth1TowerSumEt,,,,drop,,drop
Electron_dr03TkSumPt,,,,drop,,drop
Electron_dr03TkSumPtHEEP,,,,drop,,drop
Electron_dxyErr,,,,drop,,drop
Electron_dzErr,,,,drop,,drop
Electron_ecalEnergy,,,,drop,,drop
Electron_ecalEnergyError,,,,drop,,drop
Electron_eInvMinusPInv,,,,drop,,drop
Electron_fbrem,,,,drop,,drop
Electron_gsfTrketaMode,,,,drop,,drop
Electron_gsfTrkphiMode,,,,drop,,drop
Electron_gsfTrkpMode,,,,drop,,drop
Electron_gsfTrkpModeErr,,,,drop,,drop
Electron_isEB,,,,drop,,drop
Electron_isEcalDriven,,,,drop,,drop
Electron_isPFcand,,,,drop,,drop
Electron_mvaHZZIso,,,,drop,,drop
Electron_mvaIso_WPHZZ,,,,drop,,drop
Electron_mvaNoIso,,,,drop,,drop
Electron_mvaNoIso_WP80,,,,drop,,drop
Electron_mvaNoIso_WP90,,,,drop,,drop
Electron_pfRelIso03_chg,,,,drop,,drop
Electron_PreshowerEnergy,,,,drop,,drop
Electron_scEtOverPt,,,,drop,,drop
Electron_sieie,,,,drop,,drop
Electron_svIdx,,,,drop,,drop
Electron_vidNestedWPBitmap,,,,drop,,drop
Electron_vidNestedWPBitmapHEEP,,,,drop,,drop
FatJet_electronIdx3SJ,,,,drop,,drop
FatJet_globalParT3_XWW3q,,,,drop,,drop
FatJet_globalParT3_XWW4q,,,,drop,,drop
FatJet_globalParT3_XWWqqev,,,,drop,,drop
FatJet_globalParT3_XWWqqmv,,,,drop,,drop
FatJet_muonIdx3SJ,,,,drop,,drop
FatJet_n2b1,,,,drop,,drop
FatJet_n3b1,,,,drop,,drop
Jet_btagDeepFlavCvB,,,,drop,,drop
Jet_btagDeepFlavCvL,,,,drop,,drop
Jet_btagDeepFlavQG,,,,drop,,drop
Jet_btagPNetB,,,,drop,,drop
Jet_btagPNetCvB,,,,drop,,drop
Jet_btagPNetCvL,,,,drop,,drop
Jet_btagPNetCvNotB,,,,drop,,drop
Jet_btagPNetQvG,,,,drop,,drop
Jet_btagUParTAK4Ele,,,,drop,,drop
Jet_btagUParTAK4Mu,,,,drop,,drop
Jet_btagUParTAK4probb,,,,drop,,drop
Jet_btagUParTAK4probbb,,,,drop,,drop
Jet_electronIdx1,,,,drop,,drop
Jet_electronIdx2,,,,drop,,drop
Jet_hfadjacentEtaStripsSize,,,,drop,,drop
Jet_hfcentralEtaStripSize,,,,drop,,drop
Jet_hfEmEF,,,,drop,,drop
Jet_hfHEF,,,,drop,,drop
Jet_hfsigmaEtaEta,,,,drop,,drop
Jet_hfsigmaPhiPhi,,,,drop,,drop
Jet_muonSubtrDeltaEta,,,,drop,,drop
Jet_muonSubtrDeltaPhi,,,,drop,,drop
Jet_svIdx1,,,,drop,,drop
